,Name,ReviewCount,Rating,location.zip_code,empty_slots,free_bikes,Latitude,Longitude,Distance
0,AFRU Gallery,3.0,4.5,97214.0,,,45.519840349999996,-122.6601384,421.0
1,Adams and Ollman,1.0,5.0,97205.0,,,45.5229850074649,-122.66874859848801,604.0
2,Alberta Street Gallery,13.0,5.0,97211.0,,,45.55913965,-122.641729,943.0
3,Antler Gallery,7.0,4.5,97211.0,,,45.55893701768685,-122.64229774075801,939.0
4,Artistic Portland Gallery,18.0,5.0,97204.0,,,45.5481185,-122.62037445,522.0
5,Augen Galleries,3.0,4.5,97209.0,,,45.524321549999996,-122.678019,943.0
6,Augen Gallery,6.0,4.5,97209.0,,,45.52073215,-122.67660865,962.0
7,Bird's Eye View Studio,1.0,5.0,97212.0,,,45.5513038758545,-122.649089111084,357.0
8,Blackfish Gallery,5.0,4.5,97209.0,,,45.52557805,-122.6803942,500.0
9,Blind Insect Gallery,6.0,5.0,97211.0,,,45.5591605,-122.636031,159.0
10,Charles A Hartman Fine Art,3.0,4.0,97209.0,,,45.5241456167617,-122.67823349712549,586.0
11,Elizabeth Leach Gallery,10.0,5.0,97209.0,,,45.526067,-122.6804645,623.0
12,Elizabeth Leach Gallery,10.0,5.0,97209.0,,,45.523879,-122.676965,674.0
13,Eutectic Gallery,4.0,5.0,97232.0,,,45.52841385,-122.64577374999999,965.0
14,FISK Gallery,1.0,5.0,97212.0,,,45.549043999999995,-122.66190800000001,410.0
15,Fourteen 30 Contemporary,2.0,3.0,97201.0,,,45.5155845,-122.6904585,835.0
16,Froelick Gallery,5.0,4.0,97209.0,,,45.52437007691525,-122.677908602902,356.0
17,Guardino Gallery,14.0,4.0,97211.0,,,45.5592165,-122.6351455,87.0
18,High Low Art Space,4.0,5.0,97214.0,,,45.5159325,-122.62922449999999,811.0
19,Land Gallery,25.0,4.5,97227.0,,,45.551364396501995,-122.675821534575,151.0
20,Laura Vincent Design & Gallery,1.0,5.0,97209.0,,,45.5241695,-122.6798235,810.0
21,Lumber Room,2.0,5.0,97209.0,,,45.5260998678441,-122.6803501770265,925.0
22,Mesman Images,3.0,1.0,97213.0,,,45.532568999999995,-122.585562,541.0
23,NW Marine Art Works,1.0,5.0,97210.0,,,45.5405755,-122.71043399999999,950.0
24,NW Travelers Emporium,10.0,4.5,97214.0,,,45.5123075,-122.62175500000001,817.0
25,Nationale,12.0,4.5,97214.0,,,45.5227145,-122.6437165,475.0
26,Never Never Van,1.0,4.0,97215.0,,,45.5150061,-122.58805845,992.0
27,Nucleus Portland,17.0,4.5,97211.0,,,45.558986640973615,-122.64238137453555,917.0
28,O'Gallerie,34.0,2.5,97232.0,,,45.5247995,-122.658319,309.0
29,Oregonized,1.0,4.0,97232.0,,,45.532509893870355,-122.65405811821373,491.0
30,PDX Contemporary Art,2.0,4.0,97209.0,,,45.53158447926636,-122.6854395,253.0
31,Pearl Gallery & Framing,1.0,5.0,97210.0,,,45.5388609,-122.69651695,716.0
32,Sidestreet Arts,11.0,5.0,97214.0,,,45.521592907959,-122.6370345012205,569.0
33,Splendorporium,3.0,5.0,97202.0,,,45.4978095,-122.64501100000001,595.0
34,Stark Street Studios & Gallery,1.0,5.0,97214.0,,,45.519551500000006,-122.637036,782.0
35,StuStuStudio,4.0,5.0,97211.0,,,45.55931075,-122.6481553,122.0
36,Wacom Experience Center,2.0,4.0,97209.0,,,45.52808400000001,-122.6858575,970.0
37,Waterstone Gallery,3.0,3.5,97209.0,,,45.52522895,-122.681449,1139.0
38,William Joseph Gallery,1.0,5.0,97204.0,,,45.5181483,-122.67857785,911.0
39,Working Artists Gallery,1.0,5.0,97209.0,,,45.534318,-122.6855425,976.0
40,SE 47th at Hawthorne,,4.0,,3.0,0.0,0.0,0.0,652.0
41,NE 50th at Fremont,,4.0,,5.0,1.0,0.0,0.0,652.0
42,NE Cully at Skidmore,,4.0,,5.0,1.0,0.0,0.0,652.0
43,SE Belmont at 45th,,4.0,,3.0,0.0,0.0,0.0,652.0
44,SE 37th at Gladstone,,4.0,,0.0,3.0,0.0,0.0,652.0
45,SE Gideon at 12th Ave MAX station,,4.0,,8.0,2.0,0.0,0.0,652.0
46,SW 10th at Harvey Milk,,4.0,,15.0,2.0,0.0,0.0,652.0
47,SE Elliott at Division,,4.0,,7.0,10.0,0.0,0.0,652.0
48,SE Clinton at 26th,,4.0,,4.0,2.0,0.0,0.0,652.0
49,SE 29th at Belmont,,4.0,,10.0,2.0,0.0,0.0,652.0
50,SE Clay at Water,,4.0,,12.0,4.0,0.0,0.0,652.0
51,SE 14th at Stark,,4.0,,11.0,6.0,0.0,0.0,652.0
52,SE Water at Taylor,,4.0,,3.0,6.0,0.0,0.0,652.0
53,SE Belmont at 42nd,,4.0,,9.0,2.0,0.0,0.0,652.0
54,NE 28th at Couch,,4.0,,5.0,0.0,0.0,0.0,652.0
55,NW 2nd at Everett,,4.0,,4.0,8.0,0.0,0.0,652.0
56,NW 22nd at Lovejoy,,4.0,,8.0,2.0,0.0,0.0,652.0
57,NW 11th at The Fields,,4.0,,12.0,6.0,0.0,0.0,652.0
58,SW Morrison at 18th,,4.0,,16.0,2.0,0.0,0.0,652.0
59,SE 9th at Madison,,4.0,,6.0,0.0,0.0,0.0,652.0
60,NW Couch at 11th,,4.0,,15.0,2.0,0.0,0.0,652.0
61,NW Glisan at 21st,,4.0,,7.0,3.0,0.0,0.0,652.0
62,NW 21st at Johnson,,4.0,,5.0,7.0,0.0,0.0,652.0
63,N Killingsworth at Albina,,4.0,,15.0,0.0,0.0,0.0,652.0
64,NW Johnson at Jamison Square,,4.0,,9.0,4.0,0.0,0.0,652.0
65,NW Station at Irving,,4.0,,6.0,6.0,0.0,0.0,652.0
66,NW 23rd at Overton,,4.0,,8.0,6.0,0.0,0.0,652.0
67,N Williams at Fremont,,4.0,,13.0,5.0,0.0,0.0,652.0
68,Tilikum West at SW Moody,,4.0,,12.0,6.0,0.0,0.0,652.0
69,NW Kearney at 23rd,,4.0,,11.0,5.0,0.0,0.0,652.0
70,N Mississippi at Beech,,4.0,,17.0,1.0,0.0,0.0,652.0
71,N Failing at Williams,,4.0,,11.0,1.0,0.0,0.0,652.0
