,Name,ReviewCount,Rating,location.zip_code,empty_slots,free_bikes,Latitude,Longitude,Distance
0,AFRU Gallery,3.0,4.5,97214.0,,,91.04,-245.32,421.0
1,Adams and Ollman,1.0,5.0,97205.0,,,91.05,-245.34,604.0
2,Alberta Street Gallery,13.0,5.0,97211.0,,,91.12,-245.28,943.0
3,Antler Gallery,7.0,4.5,97211.0,,,91.12,-245.28,939.0
4,Artistic Portland Gallery,18.0,5.0,97204.0,,,91.1,-245.24,522.0
5,Augen Galleries,3.0,4.5,97209.0,,,91.05,-245.36,943.0
6,Augen Gallery,6.0,4.5,97209.0,,,91.04,-245.35,962.0
7,Bird's Eye View Studio,1.0,5.0,97212.0,,,91.1,-245.3,357.0
8,Blackfish Gallery,5.0,4.5,97209.0,,,91.05,-245.36,500.0
9,Blind Insect Gallery,6.0,5.0,97211.0,,,91.12,-245.27,159.0
10,Charles A Hartman Fine Art,3.0,4.0,97209.0,,,91.05,-245.36,586.0
11,Elizabeth Leach Gallery,10.0,5.0,97209.0,,,91.05,-245.36,623.0
12,Elizabeth Leach Gallery,10.0,5.0,97209.0,,,91.05,-245.35,674.0
13,Eutectic Gallery,4.0,5.0,97232.0,,,91.06,-245.29,965.0
14,FISK Gallery,1.0,5.0,97212.0,,,91.1,-245.32,410.0
15,Fourteen 30 Contemporary,2.0,3.0,97201.0,,,91.03,-245.38,835.0
16,Froelick Gallery,5.0,4.0,97209.0,,,91.05,-245.36,356.0
17,Guardino Gallery,14.0,4.0,97211.0,,,91.12,-245.27,87.0
18,High Low Art Space,4.0,5.0,97214.0,,,91.03,-245.26,811.0
19,Land Gallery,25.0,4.5,97227.0,,,91.1,-245.35,151.0
20,Laura Vincent Design & Gallery,1.0,5.0,97209.0,,,91.05,-245.36,810.0
21,Lumber Room,2.0,5.0,97209.0,,,91.05,-245.36,925.0
22,Mesman Images,3.0,1.0,97213.0,,,91.07,-245.17,541.0
23,NW Marine Art Works,1.0,5.0,97210.0,,,91.08,-245.42,950.0
24,NW Travelers Emporium,10.0,4.5,97214.0,,,91.02,-245.24,817.0
25,Nationale,12.0,4.5,97214.0,,,91.05,-245.29,475.0
26,Never Never Van,1.0,4.0,97215.0,,,91.03,-245.18,992.0
27,Nucleus Portland,17.0,4.5,97211.0,,,91.12,-245.28,917.0
28,O'Gallerie,34.0,2.5,97232.0,,,91.05,-245.32,309.0
29,Oregonized,1.0,4.0,97232.0,,,91.07,-245.31,491.0
30,PDX Contemporary Art,2.0,4.0,97209.0,,,91.06,-245.37,253.0
31,Pearl Gallery & Framing,1.0,5.0,97210.0,,,91.08,-245.39,716.0
32,Sidestreet Arts,11.0,5.0,97214.0,,,91.04,-245.27,569.0
33,Splendorporium,3.0,5.0,97202.0,,,91.0,-245.29,595.0
34,Stark Street Studios & Gallery,1.0,5.0,97214.0,,,91.04,-245.27,782.0
35,StuStuStudio,4.0,5.0,97211.0,,,91.12,-245.3,122.0
36,Wacom Experience Center,2.0,4.0,97209.0,,,91.06,-245.37,970.0
37,Waterstone Gallery,3.0,3.5,97209.0,,,91.05,-245.36,1139.0
38,William Joseph Gallery,1.0,5.0,97204.0,,,91.04,-245.36,911.0
39,Working Artists Gallery,1.0,5.0,97209.0,,,91.07,-245.37,976.0
40,SE 47th at Hawthorne,,,,3.0,0.0,0.0,0.0,
41,NE 50th at Fremont,,,,5.0,1.0,0.0,0.0,
42,NE Cully at Skidmore,,,,5.0,1.0,0.0,0.0,
43,SE Belmont at 45th,,,,3.0,0.0,0.0,0.0,
44,SE 37th at Gladstone,,,,0.0,3.0,0.0,0.0,
45,SE Gideon at 12th Ave MAX station,,,,8.0,2.0,0.0,0.0,
46,SW 10th at Harvey Milk,,,,15.0,2.0,0.0,0.0,
47,SE Elliott at Division,,,,7.0,10.0,0.0,0.0,
48,SE Clinton at 26th,,,,4.0,2.0,0.0,0.0,
49,SE 29th at Belmont,,,,10.0,2.0,0.0,0.0,
50,SE Clay at Water,,,,12.0,4.0,0.0,0.0,
51,SE 14th at Stark,,,,11.0,6.0,0.0,0.0,
52,SE Water at Taylor,,,,3.0,6.0,0.0,0.0,
53,SE Belmont at 42nd,,,,9.0,2.0,0.0,0.0,
54,NE 28th at Couch,,,,5.0,0.0,0.0,0.0,
55,NW 2nd at Everett,,,,4.0,8.0,0.0,0.0,
56,NW 22nd at Lovejoy,,,,8.0,2.0,0.0,0.0,
57,NW 11th at The Fields,,,,12.0,6.0,0.0,0.0,
58,SW Morrison at 18th,,,,16.0,2.0,0.0,0.0,
59,SE 9th at Madison,,,,6.0,0.0,0.0,0.0,
60,NW Couch at 11th,,,,15.0,2.0,0.0,0.0,
61,NW Glisan at 21st,,,,7.0,3.0,0.0,0.0,
62,NW 21st at Johnson,,,,5.0,7.0,0.0,0.0,
63,N Killingsworth at Albina,,,,15.0,0.0,0.0,0.0,
64,NW Johnson at Jamison Square,,,,9.0,4.0,0.0,0.0,
65,NW Station at Irving,,,,6.0,6.0,0.0,0.0,
66,NW 23rd at Overton,,,,8.0,6.0,0.0,0.0,
67,N Williams at Fremont,,,,13.0,5.0,0.0,0.0,
68,Tilikum West at SW Moody,,,,12.0,6.0,0.0,0.0,
69,NW Kearney at 23rd,,,,11.0,5.0,0.0,0.0,
70,N Mississippi at Beech,,,,17.0,1.0,0.0,0.0,
71,N Failing at Williams,,,,11.0,1.0,0.0,0.0,
72,N Russell at Interstate,,,,10.0,2.0,0.0,0.0,
73,SW 2nd at Pine,,,,13.0,5.0,0.0,0.0,
74,SW Harvey Milk at Burnside,,,,14.0,1.0,0.0,0.0,
75,SW River at Montgomery,,,,12.0,15.0,0.0,0.0,
76,SW Market at Keller Fountain Park,,,,8.0,4.0,0.0,0.0,
77,SE 37th at Division,,,,3.0,0.0,0.0,0.0,
78,NE 48th at Fremont,,,,11.0,1.0,0.0,0.0,
79,SE 50th at Hawthorne,,,,0.0,8.0,0.0,0.0,
80,NW Pettygrove at 15th,,,,7.0,9.0,0.0,0.0,
81,NE 30th at Glisan,,,,2.0,1.0,0.0,0.0,
82,SE 49th at Division,,,,2.0,1.0,0.0,0.0,
83,N Burrage at Killingsworth,,,,2.0,1.0,0.0,0.0,
84,NE 22nd at Thompson (Irvington Tennis Club),,,,11.0,1.0,0.0,0.0,
85,SE Belmont at 33rd,,,,10.0,1.0,0.0,0.0,
