,FSQ_ID,Status,Distance,Name,Latitude,Longitude,Address
480,513191d3e4b0ef4e0b628a67,VeryLikelyOpen,421,AFRU Gallery,45.519771,-122.660155,"534 SE Oak St, Portland, OR 97214"
420,514395b0183f1ae45512f642,LikelyOpen,604,Adams and Ollman,45.523125,-122.657366,"811 E Burnside St, Portland, OR 97214"
56,4d62ef7191cfa1cd53953839,VeryLikelyOpen,268,Adx,45.519784,-122.65495,"417 SE 11th Ave (at SE Stark St), Portland, OR 97214"
375,61fdedd9cd40dc6eebf78926,LikelyOpen,417,After/Time Collective Gallery,45.535268,-122.658398,"707 NE Broadway St (NE 7th Ave), Portland, OR 97232"
730,40fd0f06e40e40906157c79d,Unsure,912,Alberta Art Works,45.559814,-122.646022,"5107 NE 19th Ave, Portland, OR 97211"
1126,5bcfcebd061b51002c1a5079,Unsure,943,Alberta Street Gallery,45.558934,-122.637329,"2724 NE Alberta St (19th Avenue), Portland, OR 97211"
1031,558cb8e5498e9c535b7de4a5,VeryLikelyOpen,1005,Alberta Studios,45.559262,-122.648159,"1627 NE Alberta St, Portland, OR 97211"
1127,95d5c25bc0c540887d26af0d,Unsure,121,Ampersand Vintage,45.558823,-122.635533,"2916 NE Alberta St, Portland, OR 97211"
772,7bf3751cc8484af594afa6c6,Unsure,532,Amy Louise Art,45.527573,-122.615953,"4505 NE Hoyt St, Portland, OR 97213"
907,4d9f7cfc53af236aff56710c,Unsure,759,Annie Meyer Art Work Gallery,45.524212,-122.6799,"120 NW 9th Ave, Portland, OR 97209"
718,871a946fbd3c4aeef7de3e93,Unsure,939,Antler Gallery,45.558874,-122.637324,"2728 NE Alberta St, Portland, OR 97211"
1189,4f4a739ce4b07165fb454d10,LikelyOpen,1260,Antler PDX,45.558889,-122.647277,"1722 NE Alberta St (btwn NE 17th & NE 18th Ave), Portland, OR 97211"
770,556e2909498e12a6fdd65819,Unsure,602,Archipelago Gallery & Studio,45.555413,-122.626813,"3587 NE Prescott St (36th Ave.), Portland, OR 97211"
1188,dab6125161ae4010ae8cb947,Unsure,392,Arrows Gallery & Home,45.589702,-122.756166,"7227 N Philadelphia Ave, Portland, OR 97203"
503,8cdfe76a8f614434d81b8c1b,Unsure,492,Art Endeavors & Sleeping Bee Studio,45.502857,-122.62879,"2731 SE 35th Ave, Portland, OR 97202"
798,5c0479caf00a70002c40d0ef,LikelyOpen,768,Art at the Geode,45.504622,-122.640105,"2516 SE Division St (SE 25th Ave), Portland, OR 97202"
861,54055851498e2f9a660be294,Unsure,342,Artistic Portland,45.516901,-122.67673,"318 SW Taylor St (SW Taylor and 3rd Ave), Portland, OR 97204"
279,28eee729f4d742d9fe5e33c3,VeryLikelyOpen,522,Artistic Portland Gallery,45.548092,-122.620379,"4110 NE Fremont St, Portland, OR 97212"
321,56d8f1f4498e59706d42dc4d,Unsure,620,Ash Street Project Studios & Gallery,45.521305,-122.660188,"524 SE Ash St, Portland, OR 97214"
1077,4a8f2ae2f964a520351420e3,VeryLikelyOpen,943,Augen Galleries,45.524318,-122.678043,"716 NW Davis St, Portland, OR 97209"
1101,51148ca8e4b0621ac036643a,Unsure,962,Augen Gallery,45.517109,-122.675424,"817 SW 2nd Ave, Portland, OR 97204"
1334,fab438cc2bac46afa678d2eb,Unsure,273,BenWill Gallery,45.489715,-122.594516,"4533 SE 67th Ave, Portland, OR 97206"
616,ba7e75dc8c384d7039959dab,Unsure,357,Bird's Eye View Studio,45.551281,-122.649138,"3934 NE 16th Ave, Portland, OR 97212"
845,4b6cdad5f964a5205b592ce3,Unsure,678,Bite Studio,45.50852,-122.658566,"2000 SE 7th Ave, Portland, OR 97214"
419,531a8ab7498eebad1c32b874,VeryLikelyOpen,604,Black Box Gallery,45.523102,-122.657287,"811 E Burnside St, Portland, OR 97214"
22,4b64fdf0f964a52039de2ae3,VeryLikelyOpen,500,Blackfish Gallery,45.526202,-122.679889,"420 NW 9th Ave, Portland, OR 97209"
1122,5e33a8f37a8d7e000830df15,LikelyOpen,159,Blind Insect Gallery,45.559141,-122.636022,"2841 NE Alberta St, Portland, OR 97211"
1076,4b68ac65f964a5205d862be3,VeryLikelyOpen,926,Blue Sky Gallery,45.524258,-122.678039,"122 NW 8th Ave (btwn NW Davis & NW Couch), Portland, OR 97209"
1129,9ec64dcdded245b5c90d5afc,LikelyOpen,912,Bolling & Company,45.567143,-122.632088,"6107 NE 32nd Pl, Portland, OR 97211"
86,623d31e598c5dc74ef90328c,LikelyOpen,353,Brassworks Gallery,45.526276,-122.633891,"3022 NE Glisan St, Portland, OR 97232"
337,7677afa5557c4d7147523c5f,Unsure,864,Brassworks Gallery,45.514786,-122.65591,"1127 SE 10th Ave, Portland, OR 97214"
670,20621ecb236d41ddcdf4b1d5,Unsure,973,Bullseye Connection Gallery,45.52523,-122.684014,"300 NW 13th Ave, Portland, OR 97209"
584,4baea3ccf964a520c3c93be3,Unsure,810,Bullseye Gallery,45.52529,-122.684019,"1000 NW Everett St, Portland, OR 97209"
668,5d9b4d68ab6a8400070fdf7c,LikelyOpen,5054,Bullseye Projects,45.525303,-122.683864,"3630 SE 20th Ave, Portland, OR 97209"
471,5d8cd947da2f970008942c04,LikelyOpen,636,Bunny with a Toolbelt's Window of Wonders,45.558926,-122.647202,"1722 NE Alberta St (NE 18th Ave), Portland, OR 97211"
1227,4c2d52fb7d85a593c58752f3,Unsure,507,Butters Gallery,45.524332,-122.675869,"520 NW Davis St, Portland, OR 97209"
1148,52a4f31b11d2be3e1c5c2b6c,Unsure,194,C3:Initiative,45.591408,-122.756602,"7326 N Chicago Ave, Portland, OR 97203"
1256,613566cf95aa517a5974d0fd,VeryLikelyOpen,829,Carl & Sloan Contemporary,45.583419,-122.685824,"8371 N Interstate Ave (N McClellan St), Portland, OR 97217"
