,ID,Name,StatusClosed,ReviewCount,Rating,Distance,Latitude,Longitude,location.zip_code,Address
0,TzOMaXxHNNwvM4O9H8kgVQ,NW Travelers Emporium,False,10,4.5,594.2105588655112,45.51224,-122.62173,97214,"['3953 SE Hawthorne Blvd', 'Portland, OR 97214']"
1,w8x2pmunLwZyIrnLnpSNxQ,Sideshow Alley Tattoo Odditorium,False,13,4.0,849.625341110324,45.50474,-122.61069,97206,"['2504 SE 50th Ave', 'Ste E', 'Portland, OR 97206']"
2,dTtxMiXvHn6xtewMJlV7Uw,Artistic Portland Gallery,False,18,5.0,717.0484032329152,45.548145,-122.6203699,97204,"['4110 NE Fremont St', 'Portland, OR 97204']"
3,uqkm5SR1vtdUlASNk-nuGw,Dirty Dishes,False,1,5.0,540.343429572993,45.54856,-122.60426,97213,"['5709 NE Fremont St', 'Portland, OR 97213']"
4,VCqR5V5qiLDn9pLdosbVYA,Gracewood Studio,False,1,4.0,623.7590666499178,45.5585899353027,-122.60668182373,97218,"['4920 NE 55th', 'Portland, OR 97218']"
7,yy8cp3oyoCH3DSVyGcoqEg,Gallery Homeland,False,1,5.0,235.98103921157045,45.50453,-122.65532,97202,"['2505 SE 11th Ave', 'Ford Building', 'Portland, OR 97202']"
8,scEIoh0WU8YOuittSu83_Q,Concrete Arcade Gallery,False,1,5.0,358.60111710762965,45.50532,-122.65644,97214,"['959 SE Division St', 'Ste 135', 'Portland, OR 97214']"
9,SXbsinMjQblMaWoF9eA2fg,Splendorporium,False,3,5.0,882.4254655762755,45.49783,-122.64497,97202,"['3421 SE 21st Ave', 'Portland, OR 97202']"
10,8VqsxEYLTwfdpQRZblFHeg,Quintana Galleries,False,1,5.0,1130.4008226568603,45.51611,-122.64763,97214,"['Portland, OR 97214']"
11,K36y_CVjiEpOo88QnVaeDA,The Skeleton Key Odditorium ,False,17,5.0,430.86458726098846,45.51826841539796,-122.6834946,97205,"['939 SW 10th Ave', 'Portland, OR 97205']"
12,HxqiAmam9bgB4lXGuFvLTw,Elizabeth Leach Gallery,False,10,5.0,485.7416330736321,45.52613,-122.68051,97209,"['417 NW 9th', 'Portland, OR 97209']"
13,haj5vPDpUrrzFiHLjdW6Fw,Blue Sky Photography Gallery,False,7,4.5,341.96206311182164,45.5239782482386,-122.678425982594,97209,"['122 NW 8th Ave', 'Portland, OR 97209']"
14,MVUGYplRJrZNzTMU8IKh7Q,Blackfish Gallery,False,5,4.5,356.0851395441722,45.5249541,-122.6808994,97209,"['938 NW Everett St', 'Portland, OR 97209']"
15,IutKQSo6ZrmLlbtWoknrDg,Adams and Ollman,False,1,5.0,131.3665772112702,45.5228450149298,-122.680131196976,97205,"['209 SW 9th Ave', 'Portland, OR 97205']"
16,FjwkBaeJB0UPVcNQ9wVQvQ,Augen Gallery,False,6,4.5,386.2514047227578,45.5243553,-122.6777933,97209,"['716 NW Davis St', 'Portland, OR 97209']"
17,YPmBP90MIdp3OFurwgl5sA,Hunt & Gather,False,21,4.0,654.3184594139263,45.5271593481302,-122.684535384178,97209,"['1302 NW Hoyt St', 'Portland, OR 97209']"
18,pdWnCZxQkTXuamodPV3bwQ,Froelick Gallery,False,5,4.0,390.1229871097675,45.5244221538305,-122.677774205804,97209,"['714 NW Davis St', 'Portland, OR 97209']"
19,ZDHN_WlKKd9XDmkLt2ggOw,Waterstone Gallery,False,3,3.5,286.36034139824886,45.5242099,-122.67982,97209,"['124 NW 9th Ave', 'Portland, OR 97209']"
20,kEtPgDrB9er32t2nj-a9Uw,The Conservation Lab,False,8,5.0,16444.193978371874,45.60365492760619,-122.50520194433902,98683,"['16209 SE McGillivray Blvd', 'Ste C', 'Vancouver, WA 98683']"
21,srpc1Q2Iy5rBZoBGCEk7kg,Upfor,False,3,5.0,458.0078739690531,45.5258552,-122.6805304,97209,"['929 NW Flanders St', 'Portland, OR 97209']"
22,MaTM9ZzTR-ymY--z96R3PA,Laura Vincent Design & Gallery,False,1,5.0,300.4278275179578,45.52421,-122.67983,97209,"['824 NW Davis St', 'Portland, OR 97209']"
23,DaG0VHj8TSq6EqNpUzf_Ow,Charles A Hartman Fine Art,False,3,4.0,347.59849001958065,45.5240332335234,-122.678427994251,97209,"['134 NW 8th Ave', 'Portland, OR 97209']"
24,75O4-iKXjTAh5cgjpVv0YQ,Lumber Room,False,2,5.0,492.768426059821,45.5260757356882,-122.680273354053,97209,"['419 NW 9th Ave', 'Portland, OR 97209']"
25,1MzQmJDElzNX0zauVXo-PQ,Augen Galleries,False,3,4.5,374.6752317586458,45.5243251,-122.677995,97209,"['718 NW Davis St', 'Portland, OR 97209']"
26,H2K_31PKoGM1i15zEq2kVA,Errol Graphics,False,1,5.0,418.7437853414308,45.5219421386719,-122.675445556641,97240,"['Portland, OR 97240']"
27,OYcGT64DhXTHB1IyBivELQ,GALLERY GO GO,False,1,5.0,448.5973127054097,45.5186,-122.67722,97204,"['700 SW 5th Ave', 'Ste 3015', 'Portland, OR 97204']"
28,sHG5hYLuMPgNqNXs_phygg,Zeitgeist Art Gallery,False,1,5.0,509.06982483227324,45.5254096984863,-122.677116394043,97209,"['625 NW Everett St', 'Ste 109', 'Portland, OR 97209']"
29,gNV6sVMrKBTzQ0sB5GE91g,Kat + Maouche,False,2,5.0,544.3010230648338,45.52359,-122.67472,97209,"['33 NW 4th Ave', 'Portland, OR 97209']"
30,wtco3n6lZvxT7XgcRWpKrw,William Joseph Gallery,False,1,5.0,446.9851202361255,45.5181466,-122.6785487,97204,"['520 SW Yamhill St', 'Ste 401', 'Portland, OR 97204']"
35,1a1ozEjkvk1DJyx62qii0Q,Bridge City Counseling Offices,False,5,2.0,863.1209045671875,45.5119857788086,-122.65837097168,97214,"['712 SE Hawthorne Blvd', 'Ste 100', 'Portland, OR 97214']"
